Make,Model,Manufacturer,Type,Action,Class,Calibre,Shots,Barrel,Reg_date,Client,Pcode,Prov,Country,Lost,Stolen,Recovered,lossstolen_year
New England Firearms,SB1 Pardner                                         ,Harrington & Richardson,Non-restricted,Single Shot,Shotgun,"410 GA X 3""                   ",1,660,00-09-07,Individual,G0,QC,Canada,,,"
",
Savage,110,Savage,Non-restricted,Bolt Action,Rifle,22-250 REM                    ,4,559,99-03-08,Business,E5,NB,Canada,,,"
",
Beretta                                                           ,S686 Special                                                     ,Beretta                              ,Non-restricted,Multi Barrel,Shotgun,"12 GA X 2 3/4""                ",2,710,99-06-17,Individual,J7,QC,Canada,,,"
",
Maverick,88,Mossberg,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,762,06-02-21,Business,J3,QC,Canada,,,"
",
Remington,700 BDL DM,Remington,Non-restricted,Bolt Action,Rifle,30-06 SPRG,4,560,00-10-03,Individual,G0,QC,Canada,,,"
",
Marlin,30 AS                                                             ,Marlin Firearms,Non-restricted,Lever Action,Rifle,30-30 WIN                     ,6,508,01-11-08,Individual,G0,QC,Canada,,,"
",
Remington,700 Sendero Special,Remington,Non-restricted,Bolt Action,Rifle,300 WIN MAG,3,660,01-11-15,Individual,G2,QC,Canada,,,"
",
Beretta                                                           ,92FS                                                              ,Beretta                              ,Restricted,Semi-Automatic,Handgun,9MM LUGER                     ,10,125,01-12-06,Individual,T8,AB,Canada,,,"
",
"Beesley, F",Side By Side,"Beesley, F",Non-restricted,Multi Barrel,Shotgun,"12 GA X 2 3/4""",2,635,05-10-27,Individual,K1,ON,Canada,,,"
",
Remington,870 Police,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,508,05-11-07,Public Agency,T5,AB,Canada,,,"
",
Remington,11-87 Sportsman,Remington,Non-restricted,Semi-Automatic,Shotgun,"12 GA X 3""",4,660,06-11-03,Individual,T7,AB,Canada,,,"
",
New England Firearms,SB1 Pardner                                         ,New England Firearms (NEF)            ,Non-restricted,Single Shot,Shotgun,"12 GA X 3""                    ",1,698,99-11-17,Individual,N0,ON,Canada,,,"
",
Cooey,75,,Non-restricted,Bolt Action,Rifle,22,1,> 470mm,02-12-26,Individual,N0,ON,Canada,,,"
",
Winchester,94-22,,Non-restricted,Lever Action,Rifle,22,Multi-shots,> 470mm,02-12-26,Individual,S0,SK,Canada,,,"
",
Savage,58,,Non-restricted,Bolt Action,Shotgun,12,Multi-shots,> 470mm,02-12-26,Individual,L9,ON,Canada,,,"
",
Cooey,model 75,,Non-restricted,Bolt Action,Rifle,22,1,> 470mm,02-12-26,Individual,R0,MB,Canada,,,"
",
Browning,BAR MARK II Safari,,Non-restricted,Semi-Automatic,Rifle,270 WIN,4,559,02-03-13,Individual,G2,QC,Canada,,,"
",
Browning,Citori Lightning Feather,,Non-restricted,Multi Barrel,Shotgun,"12 GA X 3""",2,660,00-10-04,Individual,G2,QC,Canada,,,"
",
CIL,402,,Non-restricted,Single Shot,Shotgun,"12 GA X 2 3/4""",1,762,99-08-03,Individual,C0,PE,Canada,,,"
",
Glock,21,Glock,Restricted,Semi-Automatic,Handgun,45 AUTO                       ,10,117,03-08-07,Individual,L2,ON,Canada,,,"
",
Glock,22,Glock,Restricted,Semi-Automatic,Handgun,40 S&W                        ,10,114,99-09-25,Public Agency,R0,MB,Canada,,,"
",
FN-Browning,1910,Fabrique Nationale Herstal (FN),Prohibited,Semi-Automatic,Handgun,32 AUTO                       ,7,89,05-12-01,Individual,T1,AB,Canada,,,"
",
Magtech,122,Companhia Brasileira De Cartuchos (CBC)                       ,Non-restricted,Bolt Action,Rifle,22 LR                         ,6,533,01-10-18,Individual,G8,QC,Canada,,,"
",
Remington                                                         ,11-87 SP Magnum                                                   ,Remington,Non-restricted,Semi-Automatic,Shotgun,"12 GA X 3""                    ",4,533,99-08-28,Individual,K0,ON,Canada,,,"
",
Ruger,MARK II Target,Sturm Ruger,Restricted,Semi-Automatic,Handgun,22 LR                         ,10,254,04-11-25,Individual,T1,AB,Canada,,,"
",
Smith & Wesson,455 MARK II Hand Ejector Second Model                          ,Smith & Wesson,Restricted,Revolver,Handgun,455 REV                       ,6,165,99-09-08,Individual,L3,ON,Canada,,,"
",
Charles Daly,Field Grade,Miroku Firearms Manufacturing,Non-restricted,Multi Barrel,Shotgun,"20 GA X 2 3/4""",2,660,06-05-18,Individual,N0,ON,Canada,,,"
",
Occidental,Side By Side,Francotte,Non-restricted,Multi Barrel,Shotgun,"12 GA X 2 3/4""",2,718,05-10-27,Individual,V2,BC,Canada,,,"
",
Colt,Police Positive Special,Colt,Prohibited,Revolver,Handgun,38 SPL,6,102,05-10-20,Business,J2,QC,Canada,,,"
",
Remington,870 Magnum,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,508,06-03-30,Individual,G9,QC,Canada,,,"
",
Winchester,94,Winchester,Non-restricted,Lever Action,Rifle,30-30 WIN,6,508,06-10-26,Individual,J5,QC,Canada,,,"
",
Ruger,M77,Sturm Ruger,Non-restricted,Bolt Action,Rifle,270 WIN,5,508,05-12-29,Individual,V4,BC,Canada,,,"
",
Savage,24JDL,,Non-restricted,Hinge Break,Combination Gun,0.22/410,1,> 470mm,02-12-26,Individual,L0,ON,Canada,,,"
",
Lee-Enfield,Jungle Carbine,,Non-restricted,Bolt Action,Rifle,303,Multi-shots,> 470mm,02-12-26,Individual,S7,SK,Canada,,,"
",
Winchester,,,Non-restricted,Hinge Break,Shotgun,12,1,> 470mm,02-12-26,Individual,S7,SK,Canada,,,"
",
Cooey,75,,Non-restricted,Bolt Action,Rifle,22,1,> 470mm,02-12-26,Individual,S0,SK,Canada,,,"
",
J.C. Higgins,66,,Non-restricted,Semi-Automatic,Shotgun,12 gauge,,> 470mm,03-05-15,Individual,L3,ON,Canada,,,"
",
Winchester,1873,,Non-restricted,Lever Action,Rifle,,Multi-shots,> 470mm,02-12-26,Individual,T8,AB,Canada,,,"
",
Ithaca,37,,Non-restricted,Pump Action,Shotgun,12,Multi-shots,> 470mm,02-12-26,Individual,S0,SK,Canada,,,"
",
Remington,Wingmaster,,Non-restricted,Pump Action,Shotgun,12,Multi-shots,> 470mm,02-12-26,Individual,K9,ON,Canada,,,"
",
Savage,,,Non-restricted,Lever Action,Rifle,308,Multi-shots,> 470mm,02-12-26,Individual,S0,SK,Canada,,,"
",
Winchester,UNKNOWN,,Non-restricted,Pump Action,Shotgun,12GA,Multi-shots,> 470mm,02-12-26,Individual,V9,BC,Canada,,,"
",
Glock,17,Glock,Restricted,Semi-Automatic,Handgun,9MM LUGER                     ,10,114,00-07-28,Individual,L6,ON,Canada,,,"
",
Glock,17,Glock,Restricted,Semi-Automatic,Handgun,9MM LUGER                     ,10,114,02-01-31,Individual,N2,ON,Canada,,,"
",
Glock,22,Glock,Restricted,Semi-Automatic,Handgun,40 S&W                        ,10,114,02-07-25,Individual,L4,ON,Canada,,,"
",
Mossberg,835 Ulti-Mag                                                      ,Mossberg                                             ,Non-restricted,Pump Action,Shotgun,"12 GA X 3 1/2""                ",4,711,02-12-19,Individual,A0,NF,Canada,,,"
",
Remington                                                         ,11-87 Premier,Remington,Non-restricted,Semi-Automatic,Shotgun,"12 GA X 3""                    ",4,660,04-11-10,Individual,B0,NS,Canada,,,"
",
Beretta                                                           ,92F                                                               ,Beretta                              ,Restricted,Semi-Automatic,Handgun,9MM LUGER                     ,10,125,99-08-14,Individual,L4,ON,Canada,,,"
",
Beretta                                                           ,92F                                                               ,Beretta                              ,Restricted,Semi-Automatic,Handgun,9MM LUGER                     ,10,125,99-11-02,Individual,G1,QC,Canada,,,"
",
Deutsche Werke,Ortgies Patent,Deutsche Werke,Prohibited,Semi-Automatic,Handgun,6.35MM                        ,6,70,99-06-15,Business,T1,AB,Canada,,,"
",
Iver Johnson,Safety Hammerless Automatic,Iver Johnson,Prohibited,Revolver,Handgun,38 S&W,5,102,05-12-01,Individual,T1,AB,Canada,,,"
",
Iver Johnson,Safety Hammerless Automatic,Iver Johnson,Prohibited,Revolver,Handgun,32 S&W,5,76,05-12-01,Individual,T1,AB,Canada,,,"
",
Ruger,MARK II Standard,Sturm Ruger                                       ,Restricted,Semi-Automatic,Handgun,22 LR                         ,10,152,99-03-23,Individual,T1,AB,Canada,,,"
",
Glock,22,Glock,Restricted,Semi-Automatic,Handgun,40 S&W                        ,10,114,99-07-30,Public Agency,J2,QC,Canada,,,"
",
Ruger,New Model Single Six,Sturm Ruger,Restricted,Revolver,Handgun,22 LR,6,140,04-06-30,Individual,T0,AB,Canada,,,"
",
Rhoner,115,Rhoner Sportwaffenfabrik,Prohibited,Semi-Automatic,Handgun,6.35MM                        ,6,55,00-03-07,Business,T2,AB,Canada,,20-Nov-03,"
",
Glock,22,Glock,Restricted,Semi-Automatic,Handgun,40 S&W                        ,10,114,99-07-30,Public Agency,J2,QC,Canada,,,"
",
Colt,M1991A1 Series 80,Colt,Restricted,Semi-Automatic,Handgun,45 AUTO,7,127,00-01-11,Individual,T7,AB,Canada,,,"
",
Glock,22,Glock,Restricted,Semi-Automatic,Handgun,40 S&W                        ,10,114,99-07-30,Public Agency,J2,QC,Canada,,,"
",
Winchester,1894,Winchester,Non-restricted,Lever Action,Rifle,30-30 WIN,4,508,05-10-27,Individual,V2,BC,Canada,,,"
",
Benelli,M1 Super 90 Field,Benelli,Non-restricted,Semi-Automatic,Shotgun,"12 GA X 3""",3,711,05-10-27,Individual,55,MN,Outside Canada,,,"
",
Ruger,M77,Sturm Ruger,Non-restricted,Bolt Action,Rifle,270 WIN,5,559,06-10-12,Individual,S0,SK,Canada,,,"
",
Winchester,70 Classic Ultimate Shadow,US Repeating Arms,Non-restricted,Bolt Action,Rifle,325 WSM,3,610,05-11-03,Individual,P0,ON,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-12-08,Individual,L1,ON,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-10,Individual,V5,BC,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,06-01-12,Individual,P9,ON,Canada,,,"
",
Squires Bingham,M30R,Armscor,Non-restricted,Pump Action,Shotgun,"12 GA X 2 3/4""",5,508,06-08-16,Public Agency,R3,MB,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-03,Individual,T4,AB,Canada,,,"
",
Armas Ego,Side By Side,"Arizaga, Florentino",Non-restricted,Multi Barrel,Shotgun,"10 GA X 3 1/2""",2,864,05-11-03,Individual,R0,MB,Canada,,,"
",
Baikal,IJ-58M,"Russian State Arsenal, Izhevsk",Non-restricted,Multi Barrel,Shotgun,"12 GA X 2 3/4""",2,725,05-10-27,Individual,B3,NS,Canada,,,"
",
Remington,XR100,Remington,Non-restricted,Single Shot,Rifle,22-250 REM,1,660,06-07-31,Business,V0,BC,Canada,,,"
",
Traditions,Buckhunter Pro In-Line,Ardesa,Non-restricted,Single Shot,Rifle,50 PERCUSSION,1,560,05-11-24,Individual,J0,QC,Canada,,,"
",
Remington,7600 Weathermaster,Remington,Non-restricted,Pump Action,Rifle,30-06 SPRG,4,559,06-08-24,Individual,N0,ON,Canada,,,"
",
Mannlicher-Schoenauer,NO,Steyr-Daimler-Puch,Non-restricted,Bolt Action,Rifle,270 WIN,5,610,05-10-27,Individual,J5,QC,Canada,,,"
",
Mossberg,352K-B,Mossberg,Non-restricted,Semi-Automatic,Rifle,22 LR,7,457,05-12-29,Individual,P7,ON,Canada,,,"
",
Knight,Revolution,Modern Muzzle Loading,Non-restricted,Single Shot,Rifle,50 PERCUSSION,1,686,06-08-10,Individual,J2,QC,Canada,,,"
",
Unknown Belgian,Side By Side,,Non-restricted,Multi Barrel,Shotgun,"12 GA X 2 1/2""",2,762,06-03-16,Individual,C0,PE,Canada,,,"
",
Parker-Hale,Lee-Enfield No 1 Custom,Parker-Hale,Non-restricted,Bolt Action,Rifle,303 BRITISH,10,559,05-12-29,Individual,V2,BC,Canada,,,"
",
Lakefield,MARK 2,Lakefield Arms,Non-restricted,Bolt Action,Rifle,22 LR,10,508,05-12-29,Individual,L2,ON,Canada,,,"
",
Glock,21C,Glock,Restricted,Semi-Automatic,Handgun,45 AUTO,10,117,99-10-13,Individual,J5,QC,Canada,,,"
",
Ruger,MARK II Target,Sturm Ruger,Restricted,Semi-Automatic,Handgun,22 LR                         ,10,133,00-05-02,Individual,K9,ON,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,06-06-08,Individual,J7,QC,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-24,Individual,J0,QC,Canada,,,"
",
Pedersoli,Double Barrel Percussion Shotgun,"Pedersoli, Davide & Cia",Non-restricted,Multi Barrel,Shotgun,10 GA PERCUSSION              ,2,760,99-08-24,Business,M6,ON,Canada,,,"
",
Gevarm,A 3,Manufacture Francaise d'Armes & Cycles de Saint-Etienne (MF),Non-restricted,Semi-Automatic,Rifle,22 LR                         ,8,572,01-11-01,Individual,B4,NS,Canada,,,"
",
Ruger,MARK II Standard,Sturm Ruger                                       ,Restricted,Semi-Automatic,Handgun,22 LR                         ,10,152,03-09-25,Individual,T3,AB,Canada,,,"
",
Glock,22,Glock,Restricted,Semi-Automatic,Handgun,40 S&W                        ,10,114,00-05-02,Individual,P4,ON,Canada,,,"
",
Rohm,RG63                                                              ,Rohm,Restricted,Revolver,Handgun,22,8,127,05-03-17,Individual,L9,ON,Canada,,,"
",
Glock,22,Glock,Restricted,Semi-Automatic,Handgun,40 S&W                        ,10,114,99-07-30,Public Agency,J2,QC,Canada,,,"
",
Ruger,Blackhawk,Sturm Ruger,Restricted,Revolver,Handgun,357 MAG,6,117,02-08-29,Individual,B3,NS,Canada,,,"
",
Remington,541S,Remington,Non-restricted,Bolt Action,Rifle,22 LR,5,610,06-05-11,Individual,T4,AB,Canada,,,"
",
Browning,Semi-Auto 22,Miroku Firearms Manufacturing,Non-restricted,Semi-Automatic,Rifle,22 LR,10,489,05-12-29,Individual,K0,ON,Canada,,,"
",
Lakefield/Mossberg,395T,Mossberg,Non-restricted,Bolt Action,Shotgun,"12 GA X 3""",2,711,05-11-03,Individual,K0,ON,Canada,,,"
",
Remington,870 Wingmaster,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 2 3/4""",4,457,06-05-11,Individual,V5,BC,Canada,,,"
",
Winchester,1200,Winchester,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,711,05-10-27,Individual,G6,QC,Canada,,,"
",
Remington,870 Express,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 2 3/4""",4,508,06-08-16,Public Agency,R3,MB,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-12-08,Individual,P7,ON,Canada,,,"
",
Ithaca,37 Featherlight,Ithaca,Non-restricted,Pump Action,Shotgun,"12 GA X 2 3/4""",4,762,05-10-27,Individual,K7,ON,Canada,,,"
",
Harrington & Richardson,176,Harrington & Richardson,Non-restricted,Single Shot,Shotgun,"10 GA X 3 1/2""",1,914,05-11-03,Individual,R0,MB,Canada,,,"
",
Rossi,62SA,Rossi,Non-restricted,Pump Action,Rifle,22 LR,13,584,06-09-28,Individual,R0,MB,Canada,,,"
",
Remington,700 LSS,Remington,Non-restricted,Bolt Action,Rifle,270 WSM,4,610,05-12-22,Individual,V0,BC,Canada,,,"
",
Remington,700 LSS,Remington,Non-restricted,Bolt Action,Rifle,270 WSM,4,610,06-10-05,Individual,V1,BC,Canada,,,"
",
Remington,XR100,Remington,Non-restricted,Single Shot,Rifle,223 REM,1,660,06-11-02,Individual,T0,AB,Canada,,,"
",
Gevarm,Carabine Automatique,,Non-restricted,Semi-Automatic,Rifle,22 LR,8,580,06-02-16,Individual,S0,SK,Canada,,,"
",
Para-Ordnance,14 45 Limited,Para-Ordnance,Restricted,Semi-Automatic,Handgun,45 AUTO,10,127,06-01-19,Individual,T4,AB,Canada,,,"
",
Para-Ordnance,14 45 Limited,Para-Ordnance,Restricted,Semi-Automatic,Handgun,45 AUTO,10,127,06-01-26,Individual,L8,ON,Canada,,,"
",
Winchester,94,US Repeating Arms,Non-restricted,Lever Action,Rifle,30-30 WIN,4,508,05-10-27,Individual,N0,ON,Canada,,,"
",
Lee-Enfield,No 1 MARK 3*,"Royal Small Arms Factory, Enfield (RSAF(E))",Non-restricted,Bolt Action,Rifle,303 BRITISH,10,640,05-12-29,Individual,T0,AB,Canada,,,"
",
Remington,788,Remington,Non-restricted,Bolt Action,Rifle,7MM-08 REM,3,470,05-12-29,Individual,G8,QC,Canada,,,"
",
Mossberg,183D-B,Mossberg,Non-restricted,Bolt Action,Shotgun,"410 GA X 3""",3,610,05-12-29,Individual,P7,ON,Canada,,,"
",
Remington,812,Companhia Brasileira de Cartuchos (CBC),Non-restricted,Single Shot,Shotgun,"16 GA X 2 3/4""",1,706,05-12-29,Individual,E8,NB,Canada,,,"
",
Thompson/Center,Encore 209 x 50 Magnum,Thompson/Center Arms,Non-restricted,Single Shot,Rifle,50 PERCUSSION,1,660,05-11-10,Individual,R6,MB,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-10,Individual,B3,NS,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-10,Individual,T0,AB,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-03,Individual,V1,BC,Canada,,,"
",
Remington,11-87 Premier,Remington,Non-restricted,Semi-Automatic,Shotgun,"12 GA X 3""",4,711,05-10-27,Individual,K7,ON,Canada,,,"
",
Remington,700 LSS,Remington,Non-restricted,Bolt Action,Rifle,270 WSM,4,610,05-11-24,Individual,R0,MB,Canada,,,"
",
Remington,700 VS SF,Remington,Non-restricted,Bolt Action,Rifle,22-250 REM,4,660,06-05-04,Individual,T4,AB,Canada,,,"
",
Remington,700 VS SF,Remington,Non-restricted,Bolt Action,Rifle,22-250 REM,4,660,05-10-21,Business,T8,AB,Canada,,,"
",
Franchi,Semi Automatic,Franchi,Non-restricted,Semi-Automatic,Shotgun,"12 GA X 2 3/4""",4,765,05-11-03,Individual,P0,ON,Canada,,,"
",
Para-Ordnance,14 45 Limited,Para-Ordnance,Restricted,Semi-Automatic,Handgun,45 AUTO,10,127,06-01-05,Individual,T0,AB,Canada,,,"
",
Lee-Enfield,Sporter,Birmingham Small Arms (BSA),Non-restricted,Bolt Action,Rifle,303 BRITISH,4,633,05-10-27,Individual,K4,ON,Canada,,,"
",
Remington,700 MLS,Remington,Non-restricted,Single Shot,Rifle,50 PERCUSSION,1,610,06-10-26,Individual,N0,ON,Canada,,,"
",
"Pape, W R",Side By Side,"Pape, W R",Non-restricted,Multi Barrel,Shotgun,"12 GA X 2 1/2""",2,762,05-12-22,Individual,E4,NB,Canada,,,"
",
Knight,Revolution,Modern Muzzle Loading,Non-restricted,Single Shot,Rifle,50 PERCUSSION,1,686,06-06-08,Individual,J2,QC,Canada,,,"
",
Browning,Auto-5,Fabrique Nationale Herstal (FN),Non-restricted,Semi-Automatic,Shotgun,"20 GA X 2 3/4""",4,711,05-11-03,Individual,N5,ON,Canada,,,"
",
Savage,340-S,Savage,Non-restricted,Bolt Action,Rifle,30-30 WIN                     ,3,559,06-02-16,Individual,V9,BC,Canada,,,"
",
Cooey,60,Winchester,Non-restricted,Bolt Action,Rifle,22 LR,10,610,05-11-03,Individual,J5,QC,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-03,Individual,T4,AB,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-12-15,Individual,H3,QC,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-03,Individual,T7,AB,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-24,Individual,T5,AB,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-24,Individual,J0,QC,Canada,,,"
",
Lakefield,64B                                                               ,Lakefield Arms                                                   ,Non-restricted,Semi-Automatic,Rifle,22 LR                         ,10,520,01-11-08,Individual,A0,NF,Canada,,,"
",
Savage,110,Savage,Non-restricted,Bolt Action,Rifle,243 WIN,4,559,01-12-04,Individual,A0,NF,Canada,,,"
",
Marlin,1895 GS,Marlin Firearms,Non-restricted,Lever Action,Rifle,45-70 GOVT,4,470,05-12-08,Individual,T4,AB,Canada,,,"
",
Marlin,1895 GS,Marlin Firearms,Non-restricted,Lever Action,Rifle,45-70 GOVT,4,470,05-12-15,Individual,T0,AB,Canada,,,"
",
Smith & Wesson,Tactical Competition Collector Edition,Smith & Wesson Performance Center,Restricted,Semi-Automatic,Handgun,40 S&W                        ,10,118,03-02-13,Individual,L4,ON,Canada,,,"
",
NORINCO,1911A1,CHINESE STATE ARSENALS,Restricted,Semi-Automatic,Handgun,45 AUTO,7,128,00-08-11,Business,T2,AB,Canada,,,"
",
Glock,17,Glock,Restricted,Semi-Automatic,Handgun,9MM LUGER,10,114,05-12-01,Individual,G0,QC,Canada,,,"
",
Remington,870 Magnum,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,457,06-01-26,Individual,T8,AB,Canada,,,"
",
Remington,870 Magnum,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,457,06-10-19,Individual,V7,BC,Canada,,,"
",
Marlin,1893,Marlin Firearms,Non-restricted,Lever Action,Rifle,30-30 WIN,4,660,05-10-27,Individual,E7,NB,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-03,Individual,T7,AB,Canada,,,"
",
Remington,660,Remington,Non-restricted,Bolt Action,Rifle,308 WIN,5,508,05-11-03,Individual,P7,ON,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-03,Individual,T8,AB,Canada,,,"
",
Winchester,370,Winchester,Non-restricted,Single Shot,Shotgun,"410 GA X 3""",1,660,05-12-29,Individual,J3,QC,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-17,Individual,T8,AB,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-10-26,Business,P6,ON,Canada,,,"
",
IGA,Single Barrel,E R Amantino & Cia,Non-restricted,Single Shot,Shotgun,"12 GA X 2 3/4""",1,711,05-11-03,Individual,K0,ON,Canada,,,"
",
New England Firearms,Sidekick,H&R 1871,Non-restricted,Single Shot,Rifle,50 PERCUSSION,1,610,05-11-10,Individual,J0,QC,Canada,,,"
",
Remington,7600,Remington,Non-restricted,Pump Action,Rifle,270 WIN,4,559,05-10-21,Business,H2,QC,Canada,,,"
",
Remington,870 Express Super Magnum,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3 1/2""",3,584,06-10-19,Business,K2,ON,Canada,,,"
",
Para-Ordnance,13 45 Limited,Para-Ordnance,Restricted,Semi-Automatic,Handgun,45 AUTO,10,108,05-10-20,Business,M1,ON,Canada,,,"
",
Remington,742 Woodsmaster,Remington,Non-restricted,Semi-Automatic,Rifle,308 WIN,4,559,06-01-05,Individual,B3,NS,Canada,,,"
",
Lakefield/Mossberg,500AB,Lakefield Arms,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,610,05-12-29,Individual,P7,ON,Canada,,,"
",
Knight,Revolution,Modern Muzzle Loading,Non-restricted,Single Shot,Rifle,50 PERCUSSION,1,686,05-12-08,Individual,J9,QC,Canada,,,"
",
Knight,Revolution,Modern Muzzle Loading,Non-restricted,Single Shot,Rifle,50 PERCUSSION,1,686,06-09-14,Individual,J2,QC,Canada,,,"
",
Knight,Disc,Modern Muzzle Loading,Non-restricted,Single Shot,Rifle,50 PERCUSSION,1,660,05-11-24,Individual,J2,QC,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-17,Individual,H9,QC,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-17,Individual,H4,QC,Canada,,,"
",
Savage,99,Savage,Non-restricted,Lever Action,Rifle,308 Win,5,559,99-03-09,Business,V9,BC,Canada,,,"
",
Browning,Medalist                                                          ,Fabrique Nationale Herstal (FN),Restricted,Semi-Automatic,Handgun,22 LR                         ,10,172,99-05-19,Business,L3,ON,Canada,,,"
",
CZ,CZ858 Tactical 2,Ceska Zbrojovka (CZ),Non-restricted,Semi-Automatic,Rifle,7.62X39 RUSSIAN,5,483,05-11-03,Individual,K4,ON,Canada,,,"
",
Savage,29,Savage,Non-restricted,Pump Action,Rifle,22 LR,15,610,05-12-29,Individual,J8,QC,Canada,,,"
",
Cooey,78,Cooey,Non-restricted,Single Shot,Rifle,22 LR,1,686,05-12-29,Individual,S6,SK,Canada,,,"
",
Mossberg,351KA,Mossberg,Non-restricted,Semi-Automatic,Rifle,22 LR,15,597,05-10-27,Individual,J7,QC,Canada,,,"
",
Thompson/Center,Omega,Thompson/Center Arms,Non-restricted,Single Shot,Rifle,50 PERCUSSION,1,711,05-10-22,Business,L4,ON,Canada,,,"
",
Marlin,1895 GS,Marlin Firearms,Non-restricted,Lever Action,Rifle,45-70 GOVT,4,470,05-12-15,Individual,T3,AB,Canada,,,"
",
Marlin,1895 GS,Marlin Firearms,Non-restricted,Lever Action,Rifle,45-70 GOVT,4,470,06-02-16,Individual,V0,BC,Canada,,,"
",
Marlin,1895 GS,Marlin Firearms,Non-restricted,Lever Action,Rifle,45-70 GOVT,4,470,05-12-15,Individual,P0,ON,Canada,,,"
",
Remington,870 Wingmaster,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 2 3/4""",4,711,05-12-29,Individual,L1,ON,Canada,,,"
",
Smith & Wesson,686-4                                                ,Smith & Wesson,Restricted,Revolver,Handgun,357 MAG                       ,6,152,99-12-07,Business,L0,ON,Canada,,,"
",
REMINGTON,11-87 SPS,REMINGTON,Non-restricted,Semi-Automatic,Shotgun,"12 GA X 3""",4,711,00-08-25,Individual,A1,NF,Canada,,,"
",
