Make,Model,Manufacturer,Type,Action,Class,Calibre,Shots,Barrel,Reg_date,Client,Pcode,Prov,Country,Lost,Stolen,Recovered,lossstolen_year
Marlin,39AGoldenAnniversary,,Non-restricted,Lever Action,Rifle,22,Multi-shots,> 470mm,02-12-26,Individual,T7,AB,Canada,,,"
",
Ranger,Ranger,,Non-restricted,Bolt Action,Rifle,22,1,> 470mm,02-12-26,Individual,T0,AB,Canada,,,"
",
Cooey,75,Cooey,Non-restricted,Single Shot,Rifle,22 LR,1,686,05-11-03,Individual,J9,QC,Canada,,,"
",
Jennings,J22,,Prohibited,Semi-Automatic,Handgun,22 LR,6,64,03-03-06,Individual,G0,QC,Canada,,,"
",
Winchester,67,,Non-restricted,Bolt Action,Rifle,22,1,> 470mm,02-12-26,Individual,S0,SK,Canada,,,"
",
Lee-Enfield,1mk3,,Non-restricted,Bolt Action,Rifle,22LR,1,> 470mm,06-06-14,Individual,P0,ON,Canada,,,"
",
BRNO,5,Ceskoslovenska Zbrojovka,Non-restricted,Bolt Action,Rifle,22 LR,5,578,01-12-04,Individual,T0,AB,Canada,,,"
",
Traditions,Deerhunter,Ardesa,Non-restricted,Single Shot,Rifle,50 PERCUSSION                 ,1,610,01-12-04,Individual,J0,QC,Canada,,,"
",
Traditions,Hawken Woodsman,Ardesa,Non-restricted,Single Shot,Rifle,50 PERCUSSION                 ,1,711,03-08-21,Individual,J0,QC,Canada,,,"
",
Benelli,Super Black Eagle,Benelli,Non-restricted,Semi-Automatic,Shotgun,"12 GA X 3 1/2""",3,660,05-10-27,Individual,56,MN,Outside Canada,,,"
",
Winchester,94,US Repeating Arms,Non-restricted,Lever Action,Rifle,30-30 WIN,6,508,05-12-29,Individual,J0,QC,Canada,,,"
",
Winchester,12,Winchester,Non-restricted,Pump Action,Shotgun,"12 GA X 2 3/4""",5,660,05-11-03,Individual,L6,ON,Canada,,,"
",
Savage,24 Series S,Savage,Non-restricted,Multi Barrel,Combination Gun,"22 LR/20 GA X 3""",2,610,05-10-27,Individual,P0,ON,Canada,,,"
",
